"state","location","type","so2","no2","rspm","pm2_5","date"
"Madhya Pradesh","Bhopal","Residential",2,18,198,81,"2014-01-01"
"Odisha","Cuttack","Residential",2,37,151,95,"2014-01-01"
"Telangana","Sangareddy","Industrial",1.8,66.3,99,54,"2014-01-01"
"Madhya Pradesh","Bhopal","Industrial",2,21,215,96,"2014-01-02"
"Odisha","Cuttack","Residential",2,34,142,82,"2014-01-02"
"Telangana","Sangareddy","Industrial",12.4,86.3,149,78,"2014-01-02"
"Madhya Pradesh","Bhopal","Industrial",2,23,155,52,"2014-01-03"
"Odisha","Cuttack","Residential",2,29,96,60,"2014-01-03"
"Telangana","Sangareddy","Industrial",2.8,38.4,51,24,"2014-01-03"
"Gujarat","Jamnagar","Residential",19.51666667,23,88,24,"2014-01-04"
"Odisha","Cuttack","Residential",2,25,71,48,"2014-01-04"
"Telangana","Sangareddy","Industrial",8.7,55.4,128,56,"2014-01-04"
"Gujarat","Ahmedabad","Industrial",15.01666667,18.86666667,73.33333333,26,"2014-01-05"
"Gujarat","Ahmedabad","Residential",14,18,65,27,"2014-01-05"
"Gujarat","Ahmedabad","Residential",12,18,67,24,"2014-01-05"
"Gujarat","Ahmedabad","Residential",13,20,67,29,"2014-01-05"
"Gujarat","Ahmedabad","Industrial",9,15,57,20,"2014-01-05"
"Gujarat","Ahmedabad","Residential",9,15,68,21,"2014-01-05"
"Gujarat","Ankleshwar","Residential",20,23,73,22,"2014-01-05"
"Gujarat","Ankleshwar","Industrial",22,26,87,34,"2014-01-05"
"Gujarat","Rajkot","Industrial",13,18,60,24,"2014-01-05"
"Gujarat","Rajkot","Residential",12,18,79,24,"2014-01-05"
"Gujarat","Surat","Residential",13,19,68,24,"2014-01-05"
"Gujarat","Surat","Industrial",14,18,66,26,"2014-01-05"
"Gujarat","Surat","Residential",14,17,77,27,"2014-01-05"
"Gujarat","Vadodara","Industrial",21,22,86,41,"2014-01-05"
"Gujarat","Vadodara","Residential",16,21,86,25,"2014-01-05"
"Gujarat","Vadodara","Residential",17,23,95,34,"2014-01-05"
"Gujarat","Vapi","Residential",13,21,77,26,"2014-01-05"
"Gujarat","Vapi","Industrial",15,20,84,26,"2014-01-05"
"Odisha","Cuttack","Residential",2,30,95,43,"2014-01-05"
"Telangana","Sangareddy","Industrial",2,46.1,33,20,"2014-01-05"
"Telangana","Sangareddy","Industrial",0.3,62.2,105,35,"2014-01-06"
"Gujarat","Jamnagar","Residential",12.5,21,92,36,"2014-01-07"
